provincia,departamento,periodo,semana_epi,grupo_edad_cat,casos
Buenos Aires,LUJAN,2024,10,35-65 años,1
Buenos Aires,TANDIL,2024,14,65+ años,2
Buenos Aires,ESTEBAN ECHEVERRIA,2024,15,0-9 años,4
Buenos Aires,PRESIDENTE PERON,2024,12,10-19 años,1
Buenos Aires,LINCOLN,2024,18,10-19 años,1
Buenos Aires,EXALTACION DE LA CRUZ,2024,7,35-65 años,1
Buenos Aires,BARADERO,2024,14,20-34 años,1
Buenos Aires,LANUS,2024,3,20-34 años,2
Buenos Aires,25 DE MAYO,2024,9,35-65 años,1
Buenos Aires,MERLO,2024,13,35-65 años,71
Buenos Aires,SAN ISIDRO,2024,4,35-65 años,7
Buenos Aires,QUILMES,2024,8,20-34 años,103
Buenos Aires,LA PLATA,2024,19,20-34 años,9
Buenos Aires,SAN ISIDRO,2024,18,20-34 años,7
Buenos Aires,VICENTE LOPEZ,2024,16,20-34 años,19
Buenos Aires,AVELLANEDA,2024,19,20-34 años,8
Buenos Aires,MARCOS PAZ,2024,10,10-19 años,2
Buenos Aires,PEHUAJO,2024,13,65+ años,2
Buenos Aires,MALVINAS ARGENTINAS,2024,2,20-34 años,1
Buenos Aires,VILLA GESELL,2024,12,35-65 años,1
Buenos Aires,ESCOBAR,2024,7,0-9 años,2
Buenos Aires,JOSE C. PAZ,2024,4,0-9 años,1
Buenos Aires,ESCOBAR,2024,11,35-65 años,18
Buenos Aires,SAN MIGUEL,2024,8,35-65 años,37
Buenos Aires,SAN ISIDRO,2024,19,20-34 años,7
Buenos Aires,PRESIDENTE PERON,2024,14,35-65 años,5
Buenos Aires,GENERAL SAN MARTIN,2024,13,35-65 años,97
Buenos Aires,MARCOS PAZ,2024,10,10-19 años,1
Buenos Aires,LOMAS DE ZAMORA,2024,15,20-34 años,34
Buenos Aires,MORON,2024,6,35-65 años,4
Buenos Aires,VICENTE LOPEZ,2024,10,20-34 años,35
Buenos Aires,EXALTACION DE LA CRUZ,2024,13,35-65 años,6
Buenos Aires,SAN ISIDRO,2024,14,35-65 años,57
Buenos Aires,GENERAL SAN MARTIN,2024,9,0-9 años,2
Buenos Aires,JOSE C. PAZ,2024,21,35-65 años,1
Buenos Aires,GENERAL SAN MARTIN,2024,20,35-65 años,1
Buenos Aires,SAN VICENTE,2024,9,35-65 años,2
Buenos Aires,SALLIQUELO,2024,14,10-19 años,2
Buenos Aires,SAN FERNANDO,2024,10,20-34 años,24
Buenos Aires,PRESIDENTE PERON,2024,12,10-19 años,7
Buenos Aires,BERAZATEGUI,2024,6,35-65 años,8
Buenos Aires,MERLO,2024,13,10-19 años,38
Buenos Aires,MALVINAS ARGENTINAS,2024,4,20-34 años,3
Buenos Aires,LA MATANZA,2024,7,65+ años,20
Buenos Aires,ESCOBAR,2024,17,20-34 años,9
Buenos Aires,GENERAL SAN MARTIN,2024,8,20-34 años,66
Buenos Aires,AVELLANEDA,2024,11,65+ años,35
Buenos Aires,PILAR,2024,6,10-19 años,2
Buenos Aires,BERAZATEGUI,2024,12,35-65 años,35
Buenos Aires,MERLO,2024,11,10-19 años,16
Buenos Aires,QUILMES,2024,16,35-65 años,47
Buenos Aires,ALMIRANTE BROWN,2024,10,65+ años,21
Buenos Aires,JOSE C. PAZ,2024,9,20-34 años,192
Buenos Aires,ITUZAINGO,2024,8,20-34 años,14
Buenos Aires,SAN MIGUEL,2024,8,20-34 años,19
Buenos Aires,PILAR,2024,13,0-9 años,18
Buenos Aires,TIGRE,2024,12,20-34 años,38
Buenos Aires,SAN MIGUEL,2024,7,10-19 años,14
Buenos Aires,JOSE C. PAZ,2024,20,10-19 años,3
Buenos Aires,JUNIN,2024,11,65+ años,9
Buenos Aires,PILAR,2024,11,0-9 años,3
Buenos Aires,BERAZATEGUI,2024,18,20-34 años,3
Buenos Aires,PINAMAR,2024,13,20-34 años,1
Buenos Aires,TANDIL,2024,12,35-65 años,4
Buenos Aires,LOMAS DE ZAMORA,2024,13,35-65 años,110
Buenos Aires,JUNIN,2024,10,35-65 años,8
Buenos Aires,BERAZATEGUI,2024,16,10-19 años,6
Buenos Aires,FLORENCIO VARELA,2024,7,20-34 años,13
Buenos Aires,LOMAS DE ZAMORA,2024,5,35-65 años,12
Buenos Aires,PERGAMINO,2024,17,35-65 años,1
Buenos Aires,MARCOS PAZ,2024,19,20-34 años,2
Buenos Aires,MARCOS PAZ,2024,19,10-19 años,1
Buenos Aires,LA PLATA,2024,14,0-9 años,2
Buenos Aires,MERLO,2024,16,65+ años,4
Buenos Aires,PILAR,2024,7,35-65 años,12
Buenos Aires,VICENTE LOPEZ,2024,5,35-65 años,2
Buenos Aires,PINAMAR,2024,11,20-34 años,1
Buenos Aires,VILLARINO,2024,15,20-34 años,1
Buenos Aires,9 DE JULIO,2024,12,35-65 años,2
Buenos Aires,MALVINAS ARGENTINAS,2024,15,65+ años,3
Buenos Aires,EXALTACION DE LA CRUZ,2024,8,20-34 años,1
Buenos Aires,GENERAL PUEYRREDON,2024,11,35-65 años,1
Buenos Aires,SAN VICENTE,2024,8,20-34 años,1
Buenos Aires,PILAR,2024,17,10-19 años,2
Buenos Aires,PRESIDENTE PERON,2024,2,10-19 años,1
Buenos Aires,GENERAL SAN MARTIN,2024,11,0-9 años,30
Buenos Aires,LOMAS DE ZAMORA,2024,17,0-9 años,1
Buenos Aires,MERLO,2024,11,0-9 años,1
Buenos Aires,BARADERO,2024,15,20-34 años,1
Buenos Aires,ESTEBAN ECHEVERRIA,2024,6,10-19 años,3
Buenos Aires,FLORENCIO VARELA,2024,13,0-9 años,2
Buenos Aires,SAN PEDRO,2024,16,65+ años,1
Buenos Aires,9 DE JULIO,2024,10,35-65 años,1
Buenos Aires,NECOCHEA,2024,12,10-19 años,1
Buenos Aires,LAS FLORES,2024,12,35-65 años,1
Buenos Aires,BERISSO,2024,14,35-65 años,3
Buenos Aires,JOSE C. PAZ,2024,22,10-19 años,1
Buenos Aires,ESTEBAN ECHEVERRIA,2024,13,0-9 años,2
Buenos Aires,GENERAL SAN MARTIN,2024,15,0-9 años,1
Buenos Aires,9 DE JULIO,2024,9,35-65 años,1
Buenos Aires,CAMPANA,2024,17,35-65 años,1
Buenos Aires,SALLIQUELO,2024,5,20-34 años,1
Buenos Aires,LA PLATA,2024,8,0-9 años,1
Buenos Aires,BERAZATEGUI,2024,10,35-65 años,44
Buenos Aires,LOMAS DE ZAMORA,2024,15,10-19 años,37
Buenos Aires,EZEIZA,2024,12,35-65 años,10
Buenos Aires,BERAZATEGUI,2024,9,20-34 años,42
Buenos Aires,ITUZAINGO,2024,14,20-34 años,30
Buenos Aires,ITUZAINGO,2024,19,35-65 años,2
Buenos Aires,SAN MIGUEL,2024,6,10-19 años,4
Buenos Aires,ESTEBAN ECHEVERRIA,2024,12,20-34 años,9
Buenos Aires,LA PLATA,2024,1,0-9 años,1
Buenos Aires,SAN VICENTE,2024,9,20-34 años,1
Buenos Aires,CAMPANA,2024,15,20-34 años,1
Buenos Aires,PRESIDENTE PERON,2024,14,0-9 años,1
Buenos Aires,AVELLANEDA,2024,18,65+ años,3
Buenos Aires,ZARATE,2024,13,10-19 años,2
Buenos Aires,LANUS,2024,3,65+ años,1
Buenos Aires,ESCOBAR,2024,3,35-65 años,1
Buenos Aires,GENERAL SAN MARTIN,2024,18,0-9 años,3
Buenos Aires,TIGRE,2024,5,65+ años,1
Buenos Aires,SAN VICENTE,2024,21,20-34 años,1
Buenos Aires,ESTEBAN ECHEVERRIA,2024,9,10-19 años,14
Buenos Aires,GENERAL SAN MARTIN,2024,8,35-65 años,75
Buenos Aires,MARCOS PAZ,2024,15,35-65 años,3
Buenos Aires,VICENTE LOPEZ,2024,10,35-65 años,50
Buenos Aires,LA MATANZA,2024,11,10-19 años,133
Buenos Aires,HURLINGHAM,2024,7,20-34 años,6
Buenos Aires,ITUZAINGO,2024,11,35-65 años,15
Buenos Aires,JUNIN,2024,16,20-34 años,2
Buenos Aires,ITUZAINGO,2024,11,20-34 años,16
Buenos Aires,BERISSO,2024,14,20-34 años,3
Buenos Aires,MARCOS PAZ,2024,9,20-34 años,1
Buenos Aires,BERAZATEGUI,2024,12,0-9 años,1
Buenos Aires,ENSENADA,2024,12,20-34 años,2
Buenos Aires,ESTEBAN ECHEVERRIA,2024,5,10-19 años,3
Buenos Aires,CORONEL DE MARINA L. ROSALES,2024,10,20-34 años,2
Buenos Aires,FLORENCIO VARELA,2024,1,20-34 años,1
Buenos Aires,ZARATE,2024,9,20-34 años,4
Buenos Aires,BAHIA BLANCA,2024,17,35-65 años,3
Buenos Aires,SAN FERNANDO,2024,19,0-9 años,1
Buenos Aires,CAMPANA,2024,20,35-65 años,1
Buenos Aires,EZEIZA,2024,21,0-9 años,1
Buenos Aires,ALMIRANTE BROWN,2024,6,0-9 años,1
Buenos Aires,GENERAL PUEYRREDON,2024,10,20-34 años,1
Buenos Aires,VILLA GESELL,2024,18,10-19 años,1
Buenos Aires,HURLINGHAM,2024,18,10-19 años,2
Buenos Aires,SAN NICOLAS,2024,17,20-34 años,1
Buenos Aires,MORENO,2024,12,0-9 años,39
Buenos Aires,SAN ISIDRO,2024,7,35-65 años,61
Buenos Aires,EZEIZA,2024,7,20-34 años,9
Buenos Aires,GENERAL RODRIGUEZ,2024,13,20-34 años,18
Buenos Aires,CORONEL DE MARINA L. ROSALES,2024,7,35-65 años,1
Buenos Aires,MORENO,2024,9,35-65 años,91
Buenos Aires,EZEIZA,2024,8,35-65 años,19
Buenos Aires,TIGRE,2024,2,20-34 años,5
Buenos Aires,LANUS,2024,7,10-19 años,44
Buenos Aires,PEHUAJO,2024,1,20-34 años,1
Buenos Aires,LINCOLN,2024,11,20-34 años,1
Buenos Aires,QUILMES,2024,12,10-19 años,76
Buenos Aires,ESTEBAN ECHEVERRIA,2024,14,20-34 años,33
Buenos Aires,LA MATANZA,2024,2,35-65 años,3
Buenos Aires,LANUS,2024,7,35-65 años,68
Buenos Aires,SALTO,2024,9,20-34 años,1
Buenos Aires,SAN ISIDRO,2024,15,10-19 años,8
Buenos Aires,ESTEBAN ECHEVERRIA,2024,17,35-65 años,8
Buenos Aires,PILAR,2024,5,35-65 años,1
Buenos Aires,CHIVILCOY,2024,12,20-34 años,2
Buenos Aires,ROJAS,2024,18,20-34 años,1
Buenos Aires,CAMPANA,2024,10,35-65 años,3
Buenos Aires,BRANDSEN,2024,13,35-65 años,2
Buenos Aires,RAMALLO,2024,8,10-19 años,1
Buenos Aires,MALVINAS ARGENTINAS,2024,15,0-9 años,1
Buenos Aires,SAN ANTONIO DE ARECO,2024,8,20-34 años,1
Buenos Aires,SAN FERNANDO,2024,4,20-34 años,2
Buenos Aires,VILLA GESELL,2024,15,35-65 años,1
Buenos Aires,ROJAS,2024,10,0-9 años,1
Buenos Aires,ALMIRANTE BROWN,2024,3,35-65 años,3
Buenos Aires,CANUELAS,2024,9,10-19 años,1
Buenos Aires,VICENTE LOPEZ,2024,8,0-9 años,7
Buenos Aires,TIGRE,2024,13,35-65 años,26
Buenos Aires,JOSE C. PAZ,2024,18,20-34 años,15
Buenos Aires,LOMAS DE ZAMORA,2024,14,35-65 años,105
Buenos Aires,LA PLATA,2024,11,35-65 años,79
Buenos Aires,PILAR,2024,12,35-65 años,57
Buenos Aires,HURLINGHAM,2024,11,20-34 años,12
Buenos Aires,HURLINGHAM,2024,10,10-19 años,27
Buenos Aires,JOSE C. PAZ,2024,4,10-19 años,3
Buenos Aires,LA MATANZA,2024,3,20-34 años,1
Buenos Aires,GENERAL RODRIGUEZ,2024,13,10-19 años,1
Buenos Aires,BERISSO,2024,10,10-19 años,1
Buenos Aires,EXALTACION DE LA CRUZ,2024,18,20-34 años,2
Buenos Aires,ESCOBAR,2024,7,65+ años,2
Buenos Aires,MORENO,2024,13,0-9 años,6
Buenos Aires,LOMAS DE ZAMORA,2024,11,0-9 años,1
Buenos Aires,SAN FERNANDO,2024,2,20-34 años,1
Buenos Aires,PILAR,2024,16,20-34 años,10
Buenos Aires,MERLO,2024,8,65+ años,8
Buenos Aires,PERGAMINO,2024,4,10-19 años,1
Buenos Aires,BERISSO,2024,10,35-65 años,7
Buenos Aires,BAHIA BLANCA,2024,21,35-65 años,1
Buenos Aires,GENERAL ALVARADO,2024,11,10-19 años,1
Buenos Aires,BERAZATEGUI,2024,10,0-9 años,1
Buenos Aires,MERLO,2024,12,10-19 años,62
Buenos Aires,AVELLANEDA,2024,4,35-65 años,3
Buenos Aires,QUILMES,2024,9,10-19 años,36
Buenos Aires,BERAZATEGUI,2024,10,10-19 años,25
Buenos Aires,HURLINGHAM,2024,13,20-34 años,41
Buenos Aires,LA PLATA,2024,15,65+ años,8
Buenos Aires,GENERAL SAN MARTIN,2024,9,35-65 años,59
Buenos Aires,MORON,2024,15,20-34 años,18
Buenos Aires,VICENTE LOPEZ,2024,12,0-9 años,21
Buenos Aires,ALMIRANTE BROWN,2024,9,0-9 años,2
Buenos Aires,VICENTE LOPEZ,2024,12,20-34 años,46
Buenos Aires,LA MATANZA,2024,13,20-34 años,120
Buenos Aires,LA COSTA,2024,11,20-34 años,9
Buenos Aires,MERLO,2024,15,0-9 años,1
Buenos Aires,CANUELAS,2024,7,20-34 años,1
Buenos Aires,ZARATE,2024,8,10-19 años,2
Buenos Aires,HURLINGHAM,2024,13,0-9 años,6
Buenos Aires,LA MATANZA,2024,5,20-34 años,5
Buenos Aires,PILA,2024,14,20-34 años,1
Buenos Aires,DESCONOCIDO,2024,10,20-34 años,1
Buenos Aires,MERCEDES,2024,13,20-34 años,1
Buenos Aires,EZEIZA,2024,6,35-65 años,3
Buenos Aires,TIGRE,2024,5,35-65 años,2
Buenos Aires,MORENO,2024,4,20-34 años,1
Buenos Aires,SAN FERNANDO,2024,18,10-19 años,2
Buenos Aires,ROJAS,2024,15,20-34 años,1
Buenos Aires,QUILMES,2024,16,0-9 años,1
Buenos Aires,LA MATANZA,2024,12,10-19 años,138
Buenos Aires,MORON,2024,12,35-65 años,103
Buenos Aires,JUNIN,2024,13,35-65 años,16
Buenos Aires,MAR CHIQUITA,2024,13,35-65 años,1
Buenos Aires,BERISSO,2024,8,35-65 años,4
Buenos Aires,MARCOS PAZ,2024,10,20-34 años,6
Buenos Aires,SAN FERNANDO,2024,16,20-34 años,6
Buenos Aires,MARCOS PAZ,2024,21,10-19 años,1
Buenos Aires,LA MATANZA,2024,2,20-34 años,3
Buenos Aires,MERCEDES,2024,14,35-65 años,4
Buenos Aires,SAN ISIDRO,2024,15,20-34 años,10
Buenos Aires,MALVINAS ARGENTINAS,2024,6,35-65 años,7
Buenos Aires,LA MATANZA,2024,18,0-9 años,9
Buenos Aires,LA COSTA,2024,9,35-65 años,1
Buenos Aires,QUILMES,2024,4,0-9 años,1
Buenos Aires,MORON,2024,19,65+ años,2
Buenos Aires,GENERAL SAN MARTIN,2024,4,65+ años,4
Buenos Aires,PERGAMINO,2024,9,65+ años,1
Buenos Aires,SAN PEDRO,2024,10,65+ años,1
Buenos Aires,SALTO,2024,12,20-34 años,1
Buenos Aires,GENERAL BELGRANO,2024,9,20-34 años,1
Buenos Aires,ESTEBAN ECHEVERRIA,2024,17,0-9 años,1
Buenos Aires,SAN VICENTE,2024,14,10-19 años,1
Buenos Aires,TRES DE FEBRERO,2024,4,10-19 años,1
Buenos Aires,MALVINAS ARGENTINAS,2024,19,35-65 años,1
Buenos Aires,GENERAL ALVARADO,2024,17,35-65 años,1
Buenos Aires,VILLA GESELL,2024,12,65+ años,1
Buenos Aires,TIGRE,2024,17,0-9 años,1
Buenos Aires,ROQUE PEREZ,2024,19,20-34 años,1
Buenos Aires,CAMPANA,2024,15,10-19 años,1
Buenos Aires,GENERAL SAN MARTIN,2024,19,20-34 años,1
Buenos Aires,COLON,2024,16,0-9 años,1
Buenos Aires,MARCOS PAZ,2024,9,35-65 años,2
Buenos Aires,MORENO,2024,8,20-34 años,21
Buenos Aires,MORENO,2024,10,35-65 años,158
Buenos Aires,LOMAS DE ZAMORA,2024,9,0-9 años,48
Buenos Aires,EXALTACION DE LA CRUZ,2024,10,35-65 años,2
Buenos Aires,JUNIN,2024,14,35-65 años,17
Buenos Aires,MORON,2024,10,10-19 años,31
Buenos Aires,QUILMES,2024,14,10-19 años,46
Buenos Aires,GENERAL SAN MARTIN,2024,7,10-19 años,17
Buenos Aires,LOMAS DE ZAMORA,2024,8,65+ años,29
Buenos Aires,BERAZATEGUI,2024,10,20-34 años,46
Buenos Aires,RIVADAVIA,2024,14,20-34 años,1
Buenos Aires,SAN FERNANDO,2024,12,20-34 años,11
Buenos Aires,GENERAL SAN MARTIN,2024,16,20-34 años,29
Buenos Aires,SAN FERNANDO,2024,11,35-65 años,32
Buenos Aires,LA PLATA,2024,18,35-65 años,7
Buenos Aires,TRES DE FEBRERO,2024,15,10-19 años,16
Buenos Aires,SAN MIGUEL,2024,16,0-9 años,4
Buenos Aires,JOSE C. PAZ,2024,6,0-9 años,2
Buenos Aires,TRES DE FEBRERO,2024,7,35-65 años,25
Buenos Aires,ALMIRANTE BROWN,2024,11,20-34 años,114
Buenos Aires,LA PLATA,2024,8,20-34 años,20
Buenos Aires,DESCONOCIDO,2024,12,35-65 años,4
Buenos Aires,SAN FERNANDO,2024,11,10-19 años,12
Buenos Aires,ALMIRANTE BROWN,2024,16,10-19 años,20
Buenos Aires,GENERAL SAN MARTIN,2024,9,20-34 años,88
Buenos Aires,EZEIZA,2024,4,35-65 años,3
Buenos Aires,GENERAL SAN MARTIN,2024,17,10-19 años,10
Buenos Aires,PERGAMINO,2024,10,35-65 años,7
Buenos Aires,MORON,2024,16,10-19 años,6
Buenos Aires,SAN ISIDRO,2024,4,65+ años,2
Buenos Aires,ZARATE,2024,10,35-65 años,4
Buenos Aires,FLORENCIO VARELA,2024,2,10-19 años,1
Buenos Aires,MORENO,2024,6,0-9 años,3
Buenos Aires,AVELLANEDA,2024,20,20-34 años,6
Buenos Aires,ESTEBAN ECHEVERRIA,2024,11,65+ años,2
Buenos Aires,RAMALLO,2024,9,20-34 años,1
Buenos Aires,RAMALLO,2024,14,0-9 años,1
Buenos Aires,MAGDALENA,2024,14,35-65 años,1
Buenos Aires,PILAR,2024,8,35-65 años,9
Buenos Aires,AVELLANEDA,2024,3,20-34 años,5
Buenos Aires,LINCOLN,2024,12,10-19 años,2
Buenos Aires,FLORENCIO VARELA,2024,2,10-19 años,4
Buenos Aires,MORENO,2024,2,65+ años,1
Buenos Aires,VICENTE LOPEZ,2024,7,65+ años,16
Buenos Aires,TANDIL,2024,16,20-34 años,2
Buenos Aires,BRANDSEN,2024,11,35-65 años,2
Buenos Aires,RAMALLO,2024,13,35-65 años,2
Buenos Aires,GENERAL RODRIGUEZ,2024,7,20-34 años,2
Buenos Aires,LOBOS,2024,8,20-34 años,2
Buenos Aires,FLORENCIO VARELA,2024,9,65+ años,13
Buenos Aires,VICENTE LOPEZ,2024,13,10-19 años,29
Buenos Aires,MORON,2024,8,35-65 años,53
Buenos Aires,MORENO,2024,6,65+ años,9
Buenos Aires,JUNIN,2024,11,35-65 años,16
Buenos Aires,LAPRIDA,2024,8,65+ años,1
Buenos Aires,GENERAL LAS HERAS,2024,14,35-65 años,1
Buenos Aires,QUILMES,2024,12,10-19 años,86
Buenos Aires,LA COSTA,2024,12,35-65 años,3
Buenos Aires,TANDIL,2024,14,0-9 años,1
Buenos Aires,ITUZAINGO,2024,12,0-9 años,6
Buenos Aires,LA PLATA,2024,5,20-34 años,4
Buenos Aires,LANUS,2024,17,65+ años,11
Buenos Aires,LA PLATA,2024,12,35-65 años,94
Buenos Aires,FLORENCIO VARELA,2024,13,20-34 años,51
Buenos Aires,GENERAL SAN MARTIN,2024,5,20-34 años,8
Buenos Aires,LANUS,2024,11,35-65 años,210
Buenos Aires,JOSE C. PAZ,2024,7,10-19 años,21
Buenos Aires,SAN PEDRO,2024,11,35-65 años,2
Buenos Aires,ESCOBAR,2024,13,20-34 años,20
Buenos Aires,SAN ISIDRO,2024,7,20-34 años,24
Buenos Aires,AVELLANEDA,2024,18,10-19 años,14
Buenos Aires,MORON,2024,19,10-19 años,3
Buenos Aires,AVELLANEDA,2024,13,0-9 años,1
Buenos Aires,9 DE JULIO,2024,15,65+ años,1
Buenos Aires,MARCOS PAZ,2024,15,0-9 años,1
Buenos Aires,MARCOS PAZ,2024,12,10-19 años,4
Buenos Aires,BERAZATEGUI,2024,4,65+ años,1
Buenos Aires,MONTE,2024,11,35-65 años,1
Buenos Aires,VICENTE LOPEZ,2024,3,65+ años,1
Buenos Aires,MARCOS PAZ,2024,11,0-9 años,1
Buenos Aires,MARCOS PAZ,2024,11,20-34 años,1
Buenos Aires,GENERAL VILLEGAS,2024,12,10-19 años,1
Buenos Aires,EZEIZA,2024,10,0-9 años,1
Buenos Aires,QUILMES,2024,20,20-34 años,9
Buenos Aires,ESCOBAR,2024,10,10-19 años,7
Buenos Aires,BERAZATEGUI,2024,12,10-19 años,18
Buenos Aires,ALMIRANTE BROWN,2024,12,0-9 años,2
Buenos Aires,PERGAMINO,2024,10,10-19 años,1
Buenos Aires,ESCOBAR,2024,17,65+ años,1
Buenos Aires,AVELLANEDA,2024,7,20-34 años,34
Buenos Aires,LOMAS DE ZAMORA,2024,12,0-9 años,1
Buenos Aires,VICENTE LOPEZ,2024,10,0-9 años,15
Buenos Aires,ZARATE,2024,12,20-34 años,13
Buenos Aires,QUILMES,2024,8,10-19 años,43
Buenos Aires,CHIVILCOY,2024,8,35-65 años,1
Buenos Aires,BERAZATEGUI,2024,12,0-9 años,1
Buenos Aires,LA MATANZA,2024,4,65+ años,1
Buenos Aires,PRESIDENTE PERON,2024,17,35-65 años,1
Buenos Aires,GENERAL RODRIGUEZ,2024,14,20-34 años,41
Buenos Aires,AVELLANEDA,2024,15,10-19 años,28
Buenos Aires,LA MATANZA,2024,8,10-19 años,49
Buenos Aires,LA MATANZA,2024,13,0-9 años,18
Buenos Aires,ALMIRANTE BROWN,2024,14,20-34 años,40
Buenos Aires,ESTEBAN ECHEVERRIA,2024,20,35-65 años,1
Buenos Aires,MALVINAS ARGENTINAS,2024,11,35-65 años,45
Buenos Aires,TANDIL,2024,13,0-9 años,1
Buenos Aires,GENERAL SAN MARTIN,2024,16,10-19 años,13
Buenos Aires,AVELLANEDA,2024,4,20-34 años,3
Buenos Aires,SAN ISIDRO,2024,15,0-9 años,7
Buenos Aires,ZARATE,2024,14,10-19 años,3
Buenos Aires,NECOCHEA,2024,13,35-65 años,1
Buenos Aires,ESTEBAN ECHEVERRIA,2024,16,0-9 años,1
Buenos Aires,CHIVILCOY,2024,13,35-65 años,2
Buenos Aires,SAN ISIDRO,2024,1,0-9 años,1
Buenos Aires,RIVADAVIA,2024,11,10-19 años,1
Buenos Aires,LANUS,2024,7,65+ años,30
Buenos Aires,MALVINAS ARGENTINAS,2024,9,35-65 años,88
Buenos Aires,JOSE C. PAZ,2024,17,20-34 años,57
Buenos Aires,SAN ISIDRO,2024,4,10-19 años,2
Buenos Aires,SAN MIGUEL,2024,13,20-34 años,185
Buenos Aires,BERISSO,2024,12,20-34 años,3
Buenos Aires,MALVINAS ARGENTINAS,2024,8,20-34 años,44
Buenos Aires,SAN MIGUEL,2024,13,10-19 años,89
Buenos Aires,CORONEL DE MARINA L. ROSALES,2024,14,20-34 años,8
Buenos Aires,TRENQUE LAUQUEN,2024,13,35-65 años,5
Buenos Aires,PRESIDENTE PERON,2024,12,20-34 años,3
Buenos Aires,JUNIN,2024,9,35-65 años,3
Buenos Aires,BERISSO,2024,13,65+ años,1
Buenos Aires,ITUZAINGO,2024,8,65+ años,5
Buenos Aires,JOSE C. PAZ,2024,16,0-9 años,4
Buenos Aires,GENERAL ALVEAR,2024,13,20-34 años,2
Buenos Aires,PERGAMINO,2024,2,35-65 años,1
Buenos Aires,GENERAL VILLEGAS,2024,15,10-19 años,1
Buenos Aires,LOMAS DE ZAMORA,2024,3,35-65 años,6
Buenos Aires,BERAZATEGUI,2024,7,65+ años,3
Buenos Aires,TRENQUE LAUQUEN,2024,11,0-9 años,1
Buenos Aires,VICENTE LOPEZ,2024,11,10-19 años,34
Buenos Aires,TRES DE FEBRERO,2024,18,35-65 años,12
Buenos Aires,COLON,2024,12,0-9 años,6
Buenos Aires,BARADERO,2024,16,35-65 años,1
Buenos Aires,PEHUAJO,2024,13,20-34 años,1
Buenos Aires,GENERAL ARENALES,2024,14,10-19 años,1
Buenos Aires,CAMPANA,2024,19,0-9 años,1
Buenos Aires,LUJAN,2024,13,35-65 años,8
Buenos Aires,SAN FERNANDO,2024,17,20-34 años,3
Buenos Aires,JUNIN,2024,14,10-19 años,5
Buenos Aires,CHACABUCO,2024,12,10-19 años,2
Buenos Aires,MALVINAS ARGENTINAS,2024,10,0-9 años,16
Buenos Aires,MERLO,2024,20,10-19 años,10
Buenos Aires,AVELLANEDA,2024,6,35-65 años,11
Buenos Aires,HURLINGHAM,2024,13,35-65 años,71
Buenos Aires,LANUS,2024,13,20-34 años,45
Buenos Aires,SAN FERNANDO,2024,17,10-19 años,7
Buenos Aires,MORON,2024,19,20-34 años,3
Buenos Aires,BALCARCE,2024,18,20-34 años,1
Buenos Aires,JUNIN,2024,8,20-34 años,2
Buenos Aires,BAHIA BLANCA,2024,9,20-34 años,1
Buenos Aires,MERLO,2024,8,20-34 años,12
Buenos Aires,JOSE C. PAZ,2024,9,0-9 años,4
Buenos Aires,GENERAL RODRIGUEZ,2024,9,20-34 años,6
Buenos Aires,ZARATE,2024,8,35-65 años,1
Buenos Aires,LANUS,2024,1,35-65 años,3
Buenos Aires,BAHIA BLANCA,2024,10,35-65 años,3
Buenos Aires,MORON,2024,2,35-65 años,2
Buenos Aires,PILAR,2024,20,10-19 años,1
Buenos Aires,CORONEL SUAREZ,2024,16,35-65 años,1
Buenos Aires,SAN MIGUEL,2024,15,20-34 años,64
Buenos Aires,PILAR,2024,6,10-19 años,3
Buenos Aires,FLORENCIO VARELA,2024,8,35-65 años,65
Buenos Aires,AVELLANEDA,2024,10,65+ años,24
Buenos Aires,PEHUAJO,2024,14,0-9 años,1
Buenos Aires,LOMAS DE ZAMORA,2024,16,35-65 años,32
Buenos Aires,MERLO,2024,12,20-34 años,70
Buenos Aires,GENERAL SAN MARTIN,2024,9,10-19 años,56
Buenos Aires,RAMALLO,2024,14,35-65 años,5
Buenos Aires,LA PLATA,2024,10,10-19 años,33
Buenos Aires,ESCOBAR,2024,12,35-65 años,51
Buenos Aires,MORENO,2024,10,65+ años,26
Buenos Aires,TRES DE FEBRERO,2024,12,35-65 años,94
Buenos Aires,ALMIRANTE BROWN,2024,11,10-19 años,30
Buenos Aires,MORENO,2024,9,0-9 años,12
Buenos Aires,LANUS,2024,9,0-9 años,4
Buenos Aires,LAS FLORES,2024,13,20-34 años,3
Buenos Aires,MORENO,2024,20,35-65 años,3
Buenos Aires,TRES DE FEBRERO,2024,10,65+ años,29
Buenos Aires,SAN VICENTE,2024,11,0-9 años,1
Buenos Aires,JUNIN,2024,10,65+ años,6
Buenos Aires,ALMIRANTE BROWN,2024,6,0-9 años,3
Buenos Aires,EZEIZA,2024,15,20-34 años,10
Buenos Aires,MALVINAS ARGENTINAS,2024,8,65+ años,7
Buenos Aires,9 DE JULIO,2024,1,35-65 años,1
Buenos Aires,MONTE HERMOSO,2024,8,35-65 años,1
Buenos Aires,LUJAN,2024,15,0-9 años,1
Buenos Aires,EXALTACION DE LA CRUZ,2024,14,35-65 años,7
Buenos Aires,ESCOBAR,2024,14,10-19 años,28
Buenos Aires,EZEIZA,2024,18,20-34 años,1
Buenos Aires,ITUZAINGO,2024,15,10-19 años,8
Buenos Aires,BERAZATEGUI,2024,17,35-65 años,2
